,FIPS,County_Name,State,UIC_2013,UIC_Group,MEDICARE_ENROLL,POPESTIMATE,MED_HOUSE_INCOME,PHARMA_COUNT,HOSP_BED_100,POP_1MILE_TO_PARK,MEDICARE_RATE,PARK_1MILE_RATE
280,08071,Las Animas County,CO,11,Nonmetro,4287,14555,46281,2,17.17,7342,0.29453795946410166,0.5044314668498797
281,08073,Lincoln County,CO,7,Nonmetro,1048,5675,50169,2,26.46,84,0.18466960352422906,0.014801762114537445
282,08075,Logan County,CO,8,Nonmetro,4281,21528,55717,3,11.63,9700,0.19885730211817168,0.4505759940542549
283,08077,Mesa County,CO,2,Metro,35713,155703,64141,15,35.14,150528,0.22936616507067945,0.9667636461725208
284,08079,Mineral County,CO,12,Nonmetro,298,865,58004,Data Not Collected,No Counts,853,0.3445086705202312,0.9861271676300578
285,08081,Moffat County,CO,8,Nonmetro,2368,13292,63128,2,18.84,10396,0.17815227204333434,0.7821245862172735
286,08083,Montezuma County,CO,6,Nonmetro,6924,25849,54053,4,9.67,18517,0.26786336028473057,0.7163526635459786
287,08085,Montrose County,CO,5,Nonmetro,11520,42679,59764,5,17.52,39441,0.2699219756789053,0.9241313057944188
288,08087,Morgan County,CO,3,Nonmetro,5104,29111,63297,4,25.8,12974,0.17532891346913537,0.44567345676891895
289,08089,Otero County,CO,6,Nonmetro,4712,18690,46235,3,13.39,9112,0.2521134296415195,0.4875334403424291
290,08091,Ouray County,CO,10,Nonmetro,1465,4874,74492,Data Not Collected,No Counts,3751,0.30057447681575705,0.7695937628231432
291,08093,Park County,CO,1,Metro,3823,17390,77598,Data Not Collected,No Counts,15189,0.21983898792409431,0.8734330074755606
292,08095,Phillips County,CO,10,Nonmetro,1039,4530,57385,Data Not Collected,88.22,81,0.2293598233995585,0.017880794701986755
293,08097,Pitkin County,CO,8,Nonmetro,3044,17358,93634,Data Not Collected,14.42,17406,0.17536582555593963,1.002765295540961
294,08099,Prowers County,CO,11,Nonmetro,2515,11999,47463,2,20.86,7479,0.20960080006667223,0.6233019418284858
295,08101,Pueblo County,CO,2,Metro,39127,168162,50885,18,74.32,134366,0.23267444488053188,0.7990271286021813
296,08103,Rio Blanco County,CO,10,Nonmetro,1221,6529,64039,Data Not Collected,53.7,6189,0.18701179353652933,0.9479246438964619
297,08105,Rio Grande County,CO,11,Nonmetro,3288,11539,51416,Data Not Collected,14.73,7464,0.28494670248721726,0.6468498136753618
298,08107,Routt County,CO,8,Nonmetro,4231,24829,82330,5,15.7,18279,0.17040557412702886,0.7361955777518224
